doi,doi + link,pdf?,Ref,double-checked,name,AA,AA_location,temper,temper_location,size,dir,YS [MPa],YS [MPa]_location,UTS [MPa],UTS [MPa]_location,elong [%],elong [%]_location,Hardness,Hardness_location,Hardness UNIT,Hardness UNIT_location,Has comp [True / False / nominal],Has comp [True / False / nominal]_location,Cu,Cu_location,Mn,Mn_location,Si,Si_location,Mg,Mg_location,Zn,Zn_location,Cr,Cr_location,Fe,Fe_location,Ti,Ti_location,Zr,Zr_location,Ag,Ag_location,Be,Be_location,Bi,Bi_location,C,C_location,Ca,Ca_location,Ce,Ce_location,Er,Er_location,Ga,Ga_location,Ge,Ge_location,Hf,Hf_location,La,La_location,Li,Li_location,Ni,Ni_location,P,P_location,Pb,Pb_location,Sc,Sc_location,Sn,Sn_location,Sr,Sr_location,V,V_location,Yb,Yb_location,Other properties / data,Microstructure [None / OM / SEM / EBSD / TEM / APT],doi,Pfeiffer_no,series,who added,Notes,article_type,journal,publisher,included_in_dataset,pdf,xml
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/o UST @ 25C,,,T7,,,,,,281,,0.71,,,,,,TRUE,,3.24,,0.2,,12.08,,0.81,,,,,,0.24,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,0.0021,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,568,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/ UST @ 25C,,,T7,,,,,,296,,0.65,,,,,,TRUE,,3.24,,0.2,,12.08,,0.81,,,,,,0.24,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,0.0021,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,569,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/o UST @ 25C,,,T7,,,,,,298,,0.89,,,,,,TRUE,,3.22,,0.39,,11.9,,0.97,,,,,,0.41,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,0.002,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,570,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/ UST @ 25C,,,T7,,,,,,305,,0.78,,,,,,TRUE,,3.22,,0.39,,11.9,,0.97,,,,,,0.41,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,0.002,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,571,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/o UST @ 25C,,,T7,,,,,,243,,0.49,,,,,,TRUE,,3.32,,0.59,,12.15,,0.82,,,,,,0.24,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,0.0022,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,572,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/ UST @ 25C,,,T7,,,,,,309,,0.95,,,,,,TRUE,,3.32,,0.59,,12.15,,0.82,,,,,,0.24,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,0.0022,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,573,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/o UST @ 25C,,,T7,,,,,,242,,0.39,,,,,,TRUE,,4.17,,0.35,,12.81,,0.86,,,,,,0.43,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,0.0034,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,574,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/ UST @ 25C,,,T7,,,,,,285,,0.42,,,,,,TRUE,,4.17,,0.35,,12.81,,0.86,,,,,,0.43,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,0.0034,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,575,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/o UST @ 25C,,,T7,,,,,,248,,0.41,,,,,,TRUE,,3.79,,0.18,,11.97,,0.82,,,,,,0.5,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,0.0023,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,576,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.04.084,10.1016/j.jallcom.2017.04.084,Y,Jung2017,TRUE,w/ UST @ 25C,,,T7,,,,,,285,,0.53,,,,,,TRUE,,3.79,,0.18,,11.97,,0.82,,,,,,0.5,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,0.0023,,,,,,,,,,,,,,HT tests,,10.1016/j.jallcom.2017.04.084,577,4000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.wear.2007.05.011,10.1016/j.wear.2007.05.011,Y,Vencl2008,TRUE,A356 T6,,,T6,,,,276,,304.3,,13.7,,1050,table,HB,,TRUE,,,,0.02,,7.27,,0.31,,0.04,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,10.1016/j.wear.2007.05.011,605,4000,,,journal_article,Wear,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.wear.2007.05.011,10.1016/j.wear.2007.05.011,Y,Vencl2008,TRUE,Thixo T6,,,T6,,,,,,341.5,,9.2,,1150,table,HB,,TRUE,,,,0.02,,7.27,,0.31,,0.04,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,10.1016/j.wear.2007.05.011,606,4000,,,journal_article,Wear,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfracmech.2013.11.016,10.1016/j.engfracmech.2013.11.016,Y,Zeng2014,TRUE,197,,,T6,,,,197,,283,,12.2,,,,,,TRUE,,,,,,7.4,,0.29,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatigue,,10.1016/j.engfracmech.2013.11.016,615,4000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11837-016-1896-z,10.1007/s11837-016-1896-z,,Vo2016,TRUE,0 (aged),,,,,,,128,,164,,31,,653,text,Mpa,,TRUE,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,composites,,10.1007/s11837-016-1896-z,655,5000,,,journal_article,JOM,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.msea.2016.12.107,10.1016/j.msea.2016.12.107,Y,LeeCha2017,TRUE,Rolled sheet(T4),,,T4,,,,96.9,,242.9,,20.9,,,,,,TRUE,,0.02,,0.714,,2.27,,5.77,,0.04,,,,0.115,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2016.12.107,686,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.12.107,10.1016/j.msea.2016.12.107,Y,LeeCha2017,TRUE,Rolled sheet(T6),,,T6,,,,179.6,,248.6,,11.5,,,,,,TRUE,,0.02,,0.714,,2.27,,5.77,,0.04,,,,0.115,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2016.12.107,687,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn,,,,,,,304,,411,,12.6,,,,,,TRUE,,,,0.47,,0.4,,5.98,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,738,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn,,,,,,,196,,360,,20.2,,,,,,TRUE,,,,0.47,,0.4,,5.98,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,739,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn,,,,,,,186,,356,,21.8,,,,,,TRUE,,,,0.47,,0.4,,5.98,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,740,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn-Sc-Zr,,,,,,,380,,460,,7.8,,,,,,TRUE,,,,0.45,,0.06,,6.01,,,,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,741,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn-Sc-Zr,,,,,,,376,,455,,8.3,,,,,,TRUE,,,,0.45,,0.06,,6.01,,,,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,742,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn-Sc-Zr,,,,,,,358,,437,,8.5,,,,,,TRUE,,,,0.45,,0.06,,6.01,,,,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,743,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn-Sc-Zr,,,,,,,366,,459,,8.7,,,,,,TRUE,,,,0.45,,0.06,,6.01,,,,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,744,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn-Sc-Zr,,,,,,,355,,449,,12.2,,,,,,TRUE,,,,0.45,,0.06,,6.01,,,,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,745,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn-Sc-Zr,,,,,,,350,,444,,14,,,,,,TRUE,,,,0.45,,0.06,,6.01,,,,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,746,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn-Sc-Zr,,,,,,,325,,451,,14.4,,,,,,TRUE,,,,0.45,,0.06,,6.01,,,,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,747,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn-Sc-Zr,,,,,,,316,,440,,17,,,,,,TRUE,,,,0.45,,0.06,,6.01,,,,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,748,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.04.029,10.1016/j.msea.2016.04.029,Y,Peng2016,TRUE,Al-Mg-Mn-Sc-Zr,,,,,,,313,,437,,19.9,,,,,,TRUE,,,,0.45,,0.06,,6.01,,,,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,"corrosion, some intermetallic char",,10.1016/j.msea.2016.04.029,749,5000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2017.07.031,10.1016/j.jmatprotec.2017.07.031,Y,Huang2017,TRUE,Bal.,,,T4,,,,,,239.6,,21.5,,74,table,HV,,TRUE,,0.15,,0.15,,0.4,,0.8,,0.25,,,,0.7,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSW,,10.1016/j.jmatprotec.2017.07.031,775,6061,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.matchar.2018.04.045,10.1016/j.matchar.2018.04.045,Y,LeeCha2018,TRUE,0,,,T4,,,,147,,273.6,,19.2,,,,,,TRUE,,0.02,,0.714,,2.27,,5.77,,0.04,,,,0.115,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matchar.2018.04.045,797,5000,,,journal_article,Materials Characterization,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.actamat.2010.01.037,10.1016/j.actamat.2010.01.037,Y,Mckenzie2010,TRUE,,6016,,O,,,,89,,170,,23.6,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2010.01.037,826,6000,,,journal_article,Acta Materialia,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11661-012-1121-9,10.1007/s11661-012-1121-9,,Ishihara,TRUE,6061-T6,6061,,T6,,,,287,,315,,16.4,,,,,,TRUE,,,,,,0.6,,1,,,,,,0.2,,,,,,,,,,,,0.1,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-012-1121-9,846,6000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2012.02.008,10.1016/j.jmatprotec.2012.02.008,Y,Shahri2012,TRUE,6005A T6 actual,6005,,T6,,,,253,,280,,10,,,,,,TRUE,,0.07,,0.15,,0.61,,0.54,,,,,,0.21,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jmatprotec.2012.02.008,847,6000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2012.06.076,10.1016/j.msea.2012.06.076,Y,Coelho2012,TRUE,AA6181-T4,6181,,T4,,,,127,,259,,26,,,,,,TRUE,,0.06,,0.09,,0.85,,0.74,,0.012,,0.01,,0.25,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,10.1016/j.msea.2012.06.076,852,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.actamat.2007.01.006,10.1016/j.actamat.2007.01.006,Y,Buha2007,TRUE,T6,,,T6,,,,311,,352,,8.2,,134,table,HV,,TRUE,,0.25,,0.13,,0.59,,0.99,,,,0.11,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.actamat.2007.01.006,853,6000,,,journal_article,Acta Materialia,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.actamat.2007.01.006,10.1016/j.actamat.2007.01.006,Y,Buha2007,TRUE,T6I6,,,T616,,,,335,,368,,7.3,,146,table,HV,,TRUE,,0.25,,0.13,,0.59,,0.99,,,,0.11,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.actamat.2007.01.006,854,6000,,,journal_article,Acta Materialia,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.optlastec.2012.06.019,10.1016/j.optlastec.2012.06.019,Y,Sath2013,TRUE,Al-6061-T6,6061,,T6,,,,277.29,,324.37,,16.4,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.optlastec.2012.06.019,855,6000,,,journal_article,Optics & Laser Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s10853-010-4609-y,10.1007/s10853-010-4609-y,,Sam2010,TRUE,6063 Al alloy,6063,,,,,,,,215,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s10853-010-4609-y,861,6000,,,journal_article,Journal of Materials Science,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2017.01.029,10.1016/j.jmatprotec.2017.01.029,Y,Mirnia2017,TRUE,,6061,,T6,,,,349.2,,381.1,,6.95,,,,,,TRUE,,0.24,,0.06,,0.58,,1,,0.05,,0.16,,0.28,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jmatprotec.2017.01.029,864,6000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1007/978-3-319-00765-6_8,10.1007/978-3-319-00765-6_8,,Moridi2013,TRUE,Al 6082,6082,,,,,,260,,340,,11,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/978-3-319-00765-6_8,877,6000,,,book_content,Conference Proceedings of the Society for Experimental Mechanics Series,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.solmat.2017.06.063,10.1016/j.solmat.2017.06.063,Y,Pantelis2017,TRUE,BM,6082,,T6,,,,289,,334,,7.5,,,,,,TRUE,,0.04,,0.7,,1.07,,1.15,,0.04,,0.024,,0.28,,0.015,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,0.005,,,,,,,,,,,,0.016,,,,,,10.1016/j.solmat.2017.06.063,880,6000,,,journal_article,Solar Energy Materials and Solar Cells,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.apsusc.2006.02.060,10.1016/j.apsusc.2006.02.060,Y,Grinspan2006,TRUE,AA6063,6063,,T6,,,,150,,185,,7,,83,table,HV,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.apsusc.2006.02.060,881,6000,,,journal_article,Applied Surface Science,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.apsusc.2006.02.060,10.1016/j.apsusc.2006.02.060,Y,Grinspan2006,TRUE,AA6061,6061,,T4,,,,118,,190,,14,,62,table,HV,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.apsusc.2006.02.060,882,6000,,,journal_article,Applied Surface Science,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.06.036,10.1016/j.msea.2015.06.036,Y,Rao2015,TRUE,ST,6061,,sol'n treated,,,,50,,172,,29,,52,table,HV,,TRUE,,0.2,,0.04,,0.67,,1.01,,0.06,,0.05,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.msea.2015.06.036,883,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.06.036,10.1016/j.msea.2015.06.036,Y,Rao2015,TRUE,T6,6061,,T6,,,,220,,330,,16,,98,table,HV,,TRUE,,0.2,,0.04,,0.67,,1.01,,0.06,,0.05,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.msea.2015.06.036,884,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0921-5093(02)00456-2,10.1016/s0921-5093(02)00456-2,Y,Jiang2003,TRUE,6063UA,6063,,,,,,67,,164,,26,,,,,,TRUE,,0.004,,0.07,,0.41,,0.45,,,,0.007,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/s0921-5093(02)00456-2,891,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0921-5093(02)00456-2,10.1016/s0921-5093(02)00456-2,Y,Jiang2003,TRUE,6063PA,6063,,,,,,220,,259,,15,,,,,,TRUE,,0.004,,0.07,,0.41,,0.45,,,,0.007,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/s0921-5093(02)00456-2,892,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0921-5093(02)00456-2,10.1016/s0921-5093(02)00456-2,Y,Jiang2003,TRUE,6082UA,6082,,,,,,142,,190,,18,,,,,,TRUE,,0.2,,0.51,,1.06,,0.67,,0.18,,0.03,,0.29,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/s0921-5093(02)00456-2,893,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0921-5093(02)00456-2,10.1016/s0921-5093(02)00456-2,Y,Jiang2003,TRUE,6082PA,6082,,,,,,256,,300,,14,,,,,,TRUE,,0.2,,0.51,,1.06,,0.67,,0.18,,0.03,,0.29,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/s0921-5093(02)00456-2,894,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0921-5093(00)00805-4,10.1016/s0921-5093(00)00805-4,Y,Ghfiri2000,TRUE,6005A T6,6005,,T6,,,,260,,285,,12,,,,,,nominal,,0.3,,0.5,,0.7,,0.55,,0.2,,0.3,,0.35,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/s0921-5093(00)00805-4,895,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0921-5093(00)00805-4,10.1016/s0921-5093(00)00805-4,Y,Ghfiri2000,TRUE,6082 T6,6082,,T6,,,,280,,315,,12,,,,,,nominal,,0.1,,0.7,,1,,0.9,,0.2,,0.25,,0.4,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/s0921-5093(00)00805-4,896,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.10.027,10.1016/j.msea.2016.10.027,Y,Barnwal2017,TRUE,RD,6061,,T6,,,,265,,308,,14.45,,,,,,TRUE,,0.17,,0.11,,0.53,,1.06,,0.084,,0.1,,0.31,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2016.10.027,897,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.10.027,10.1016/j.msea.2016.10.027,Y,Barnwal2017,TRUE,ID,6061,,T6,,,,255,,293,,12.36,,,,,,TRUE,,0.17,,0.11,,0.53,,1.06,,0.084,,0.1,,0.31,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2016.10.027,898,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2016.10.027,10.1016/j.msea.2016.10.027,Y,Barnwal2017,TRUE,TD,6061,,T6,,,,238,,274,,13.06,,,,,,TRUE,,0.17,,0.11,,0.53,,1.06,,0.084,,0.1,,0.31,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2016.10.027,899,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.06.046,10.1016/j.msea.2015.06.046,Y,Hag2015,TRUE,6061 aluminum,6061,,O,,,,80,,165,,18,,,,,,TRUE,,0.4,,0.1,,0.6,,1,,0.3,,0.3,,0.4,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2015.06.046,900,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.06.046,10.1016/j.msea.2015.06.046,Y,Hag2015,TRUE,5052 aluminum,5052,,O,,,,80,,195,,24,,,,,,TRUE,,0.1,,0.1,,0.25,,2.2,,0.1,,0.17,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2015.06.046,900,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.07.059,10.1016/j.msea.2015.07.059,Y,Wang2015,TRUE,A,,,T4P,,,,113,,237,,26.3,,,,,,TRUE,,0.2,,0.1,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,texture,"SEM, TEM",10.1016/j.msea.2015.07.059,906,6000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
